target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
1,92,1,1,93,92,93,1.168400,1.181100,1.0589029741936429e-07,1.0589029741936429e-07,0,303
1,92,1,1,94,93,94,1.181100,1.193800,8.0385905931734669e-08,8.0385905931734669e-08,0,303
1,92,1,1,95,94,95,1.193800,1.206500,,7.0950337160979871e-08,1,0
1,92,1,1,96,95,96,1.206500,1.219200,6.1514768390225072e-08,6.1514768390225072e-08,0,303
1,92,1,1,97,96,97,1.219200,1.231900,4.7481567122531487e-08,4.7481567122531487e-08,0,303
1,92,1,1,98,97,98,1.231900,1.244600,,4.2235478225904899e-08,1,0
1,92,1,1,99,98,99,1.244600,1.257300,3.698938932927831e-08,3.698938932927831e-08,0,303
1,92,1,1,100,99,100,1.257300,1.270000,3.0541844608933388e-08,3.0541844608933388e-08,0,303
2,112,2,1,1,0,1,0.000000,0.012700,0.94698125123977661,0.94698125123977661,0,303
2,112,2,1,2,1,2,0.012700,0.025400,0.93307420611381531,0.93307420611381531,0,303
2,112,2,1,3,2,3,0.025400,0.038100,,0.92272277176380157,1,0
2,112,2,1,4,3,4,0.038100,0.050800,0.91237133741378784,0.91237133741378784,0,303
2,112,2,1,5,4,5,0.050800,0.063500,0.88783594965934753,0.88783594965934753,0,303
2,112,2,1,6,5,6,0.063500,0.076200,,0.87356069684028625,1,0
2,112,2,1,7,6,7,0.076200,0.088900,0.85928544402122498,0.85928544402122498,0,303
2,112,2,1,8,7,8,0.088900,0.101600,0.82671517133712769,0.82671517133712769,0,303
2,112,2,1,9,8,9,0.101600,0.114300,,0.80851241946220398,1,0
2,112,2,1,10,9,10,0.114300,0.127000,0.79030966758728027,0.79030966758728027,0,303
2,112,2,1,11,10,11,0.127000,0.139700,0.7504274845123291,0.7504274845123291,0,303
2,112,2,1,12,11,12,0.139700,0.152400,,0.72900474071502686,1,0
2,112,2,1,13,12,13,0.152400,0.165100,0.70758199691772461,0.70758199691772461,0,303
2,112,2,1,14,13,14,0.165100,0.177800,,0.68499544262886047,1,0
2,112,2,1,15,14,15,0.177800,0.190500,0.66240888833999634,0.66240888833999634,0,303
2,112,2,1,16,15,16,0.190500,0.203200,0.61562907695770264,0.61562907695770264,0,303
2,112,2,1,17,16,17,0.203200,0.215900,,0.5918186753988266,1,0
2,112,2,1,18,17,18,0.215900,0.228600,0.56800827383995056,0.56800827383995056,0,303
2,112,2,1,19,18,19,0.228600,0.241300,0.52032220363616943,0.52032220363616943,0,303
2,112,2,1,20,19,20,0.241300,0.254000,,0.49681707471609116,1,0
2,112,2,1,21,20,21,0.254000,0.266700,0.47331194579601288,0.47331194579601288,0,303
2,112,2,1,22,21,22,0.266700,0.279400,0.42764794826507568,0.42764794826507568,0,303
2,112,2,1,23,22,23,0.279400,0.292100,,0.40577554702758789,1,0
2,112,2,1,24,23,24,0.292100,0.304800,0.3839031457901001,0.3839031457901001,0,303
2,112,2,1,25,24,25,0.304800,0.317500,0.34253703057765961,0.34253703057765961,0,303
2,112,2,1,26,25,26,0.317500,0.330200,,0.32321327924728394,1,0
2,112,2,1,27,26,27,0.330200,0.342900,0.30388952791690826,0.30388952791690826,0,303
2,112,2,1,28,27,28,0.342900,0.355600,,0.28603502362966537,1,0
2,112,2,1,29,28,29,0.355600,0.368300,0.26818051934242249,0.26818051934242249,0,303
2,112,2,1,30,29,30,0.368300,0.381000,0.2355186939239502,0.2355186939239502,0,303
2,112,2,1,31,30,31,0.381000,0.393700,,0.2207125760614872,1,0
2,112,2,1,32,31,32,0.393700,0.406400,0.2059064581990242,0.2059064581990242,0,303
2,112,2,1,33,32,33,0.406400,0.419100,0.17926434427499771,0.17926434427499771,0,303
2,112,2,1,34,33,34,0.419100,0.431800,,0.1673617772758007,1,0
2,112,2,1,35,34,35,0.431800,0.444500,0.1554592102766037,0.1554592102766037,0,303
2,112,2,1,36,35,36,0.444500,0.457200,0.13432126492261887,0.13432126492261887,0,303
2,112,2,1,37,36,37,0.457200,0.469900,,0.12498940154910088,1,0
