bin_index,depth_percent_start,depth_percent_end,depth_mm_start,depth_mm_end,raw_max_svar1,plotted_max_svar1,interpolated,nodal_sample_count
55,54,55,1.371600,1.397000,0.61167051394780481,0.61167051394780481,0,408
56,55,56,1.397000,1.422400,0.63161818186442054,0.63161818186442054,0,323
57,56,57,1.422400,1.447800,0.52417433634400368,0.52417433634400368,0,357
58,57,58,1.447800,1.473200,0.49554597586393356,0.49554597586393356,0,850
59,58,59,1.473200,1.498600,0.50217053294181824,0.50217053294181824,0,3094
60,59,60,1.498600,1.524000,0.41205928474664688,0.41205928474664688,0,7820
61,60,61,1.524000,1.549400,0.37362473085522652,0.37362473085522652,0,6341
62,61,62,1.549400,1.574800,0.33770005777478218,0.33770005777478218,0,4947
63,62,63,1.574800,1.600200,0.30277470499277115,0.30277470499277115,0,6528
64,63,64,1.600200,1.625600,0.2719452939927578,0.2719452939927578,0,8381
65,64,65,1.625600,1.651000,0.24446665868163109,0.24446665868163109,0,51
66,65,66,1.651000,1.676400,0.21606027334928513,0.21606027334928513,0,153
67,66,67,1.676400,1.701800,0.17693316005170345,0.17693316005170345,0,51
68,67,68,1.701800,1.727200,0.15303750522434711,0.15303750522434711,0,136
69,68,69,1.727200,1.752600,0.1464607622474432,0.1464607622474432,0,187
70,69,70,1.752600,1.778000,0.12880814969539642,0.12880814969539642,0,170
71,70,71,1.778000,1.803400,0.15314435586333275,0.15314435586333275,0,1394
72,71,72,1.803400,1.828800,0.10039826333522797,0.10039826333522797,0,4624
73,72,73,1.828800,1.854200,0.08928185049444437,0.08928185049444437,0,8840
74,73,74,1.854200,1.879600,0.078712463844567537,0.078712463844567537,0,5933
75,74,75,1.879600,1.905000,0.06678440049290657,0.06678440049290657,0,7259
76,75,76,1.905000,1.930400,0.05855735344812274,0.05855735344812274,0,9214
77,76,77,1.930400,1.955800,0.0426139528863132,0.0426139528863132,0,17
78,77,78,1.955800,1.981200,,0.038033276175459228,1,0
79,78,79,1.981200,2.006600,,0.033452599464605257,1,0
80,79,80,2.006600,2.032000,0.028871922753751281,0.028871922753751281,0,102
81,80,81,2.032000,2.057400,0.027014896832406519,0.027014896832406519,0,119
82,81,82,2.057400,2.082800,0.02146878931671381,0.02146878931671381,0,68
83,82,83,2.082800,2.108200,0.028173804841935639,0.028173804841935639,0,17
84,83,84,2.108200,2.133600,0.02540502827614546,0.02540502827614546,0,272
85,84,85,2.133600,2.159000,0.0155580616556108,0.0155580616556108,0,595
86,85,86,2.159000,2.184400,0.013657494564540681,0.013657494564540681,0,8636
87,86,87,2.184400,2.209800,0.011928637861274179,0.011928637861274179,0,15708
88,87,88,2.209800,2.235200,0.01027846615761519,0.01027846615761519,0,11900
89,88,89,2.235200,2.260600,0.0072754950961098101,0.0072754950961098101,0,34
90,89,90,2.260600,2.286000,,0.006802458040924237,1,0
91,90,91,2.286000,2.311400,,0.0063294209857386648,1,0
92,91,92,2.311400,2.336800,,0.0058563839305530918,1,0
