target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
2,40,2,1,89,88,89,2.235200,2.260600,7.1009698121571319e-09,7.1009698121571319e-09,0,34
2,40,2,1,90,89,90,2.260600,2.286000,,6.8448132010830295e-09,1,0
2,40,2,1,91,90,91,2.286000,2.311400,,6.5886565900089263e-09,1,0
2,40,2,1,92,91,92,2.311400,2.336800,,6.3324999789348239e-09,1,0
2,40,2,1,93,92,93,2.336800,2.362200,,6.0763433678607207e-09,1,0
2,40,2,1,94,93,94,2.362200,2.387600,,5.8201867567866184e-09,1,0
2,40,2,1,95,94,95,2.387600,2.413000,,5.564030145712516e-09,1,0
2,40,2,1,96,95,96,2.413000,2.438400,,5.3078735346384128e-09,1,0
2,40,2,1,97,96,97,2.438400,2.463800,,5.0517169235643096e-09,1,0
2,40,2,1,98,97,98,2.463800,2.489200,,4.7955603124902072e-09,1,0
2,40,2,1,99,98,99,2.489200,2.514600,,4.5394037014161049e-09,1,0
2,40,2,1,100,99,100,2.514600,2.540000,4.2832470903420017e-09,4.2832470903420017e-09,0,37451
3,60,3,1,1,0,1,0.000000,0.025400,0.99926593899726868,0.99926593899726868,0,46206
3,60,3,1,2,1,2,0.025400,0.050800,,0.99683706959088647,1,0
3,60,3,1,3,2,3,0.050800,0.076200,,0.99440820018450415,1,0
3,60,3,1,4,3,4,0.076200,0.101600,,0.99197933077812195,1,0
3,60,3,1,5,4,5,0.101600,0.127000,,0.98955046137173963,1,0
3,60,3,1,6,5,6,0.127000,0.152400,0.98712159196535743,0.98712159196535743,0,51
3,60,3,1,7,6,7,0.152400,0.177800,0.98491054773330688,0.98491054773330688,0,527
3,60,3,1,8,7,8,0.177800,0.203200,0.97683277726173401,0.97683277726173401,0,1547
3,60,3,1,9,8,9,0.203200,0.228600,0.96768033504486084,0.96768033504486084,0,4879
